"","ensgene","name","module","mm"
"388","uc001cas.2","uc001cas.2","plum1",0.233208123651531
"389","uc001caz.2","uc001caz.2","lightcyan",0.732128590285313
"390","uc001cbe.2","uc001cbe.2","darkorange",0.20034520169865
"391","uc001cbi.4","uc001cbi.4","magenta",0.190477750572816
"392","uc001cbj.3","uc001cbj.3","orange",0.144207254541429
"393","uc001cbk.3","uc001cbk.3","purple",0.154205945180936
"394","uc001cbo.3","uc001cbo.3","orangered4",0.193155538238621
"395","uc009vvi.3","uc009vvi.3","white",0.218859343736257
"396","uc001cby.2","uc001cby.2","darkorange",0.17652229770234
"397","uc001cca.1","uc001cca.1","darkgrey",0.190976212711872
"398","uc010oii.1","uc010oii.1","lightgreen",0.337112727668606
"399","uc001cce.1","uc001cce.1","purple",0.256479506629281
"400","uc001ccg.1","uc001ccg.1","lightcyan",0.163676566508185
"401","uc021oln.1","uc021oln.1","pink",0.271454051278805
"402","uc001cci.3","uc001cci.3","turquoise",0.300321836623478
"403","uc001ccn.4","uc001ccn.4","black",0.179201986832258
"404","uc001ccq.3","uc001ccq.3","saddlebrown",0.153001138225255
"405","uc021olq.1","uc021olq.1","orangered4",0.234816978062958
"406","uc021olr.1","uc021olr.1","orangered4",0.221845570617624
"407","uc010oio.1","uc010oio.1","yellowgreen",0.202641668311467
"408","uc001ccw.3","uc001ccw.3","grey60",0.70026099561942
"409","uc001ccx.3","uc001ccx.3","darkgreen",0.117773479176497
"410","uc001ccy.3","uc001ccy.3","darkred",0.438882297568148
"411","uc001cda.1","uc001cda.1","tan",0.290644897666339
"412","uc009vvt.1","uc009vvt.1","purple",0.229627258581501
"413","uc001cdi.3","uc001cdi.3","purple",0.266086214212368
"414","uc001cdk.3","uc001cdk.3","magenta",0.183663279922635
"415","uc001cdl.2","uc001cdl.2","red",0.260935301474963
"416","uc001cdq.1","uc001cdq.1","greenyellow",0.1877468924545
"417","uc001cdr.3","uc001cdr.3","darkorange",0.193307047282969
"418","uc010oix.2","uc010oix.2","darkorange",0.291519381461689
"419","uc001cdu.2","uc001cdu.2","paleturquoise",0.115353828885948
"420","uc021oly.1","uc021oly.1","turquoise",0.153427929724159
"421","uc001cec.4","uc001cec.4","darkorange",0.126618615637921
"422","uc010oja.1","uc010oja.1","plum1",0.186010050051801
"423","uc001ceu.3","uc001ceu.3","greenyellow",0.223674814446023
"424","uc001cey.4","uc001cey.4","midnightblue",0.252717832310655
